0.01,0.1,NR,31.8596
0.01,0.11012,NR,68.227
0.01,0.12024,NR,3653.3917
0.01,0.13036,NR,3649.3661
0.01,0.14048,NR,3644.0174
0.01,0.1506,NR,3638.2166
0.01,0.16071,NR,3632.1739
0.01,0.17083,NR,3625.9493
0.01,0.18095,NR,3619.6016
0.01,0.19107,NR,3613.1496
0.01,0.20119,NR,3606.6016
0.01,0.21131,NR,3599.9708
0.01,0.22143,NR,3593.2606
0.01,0.23155,NR,3586.4666
0.01,0.24167,NR,3579.605
0.01,0.25179,NR,3572.6731
0.01,0.2619,NR,3565.6725
0.01,0.27202,NR,3558.6058
0.01,0.28214,NR,3551.4749
0.01,0.29226,NR,3544.2646
0.01,0.30238,NR,3536.991
0.01,0.3125,NR,3529.6531
0.01,0.32262,NR,3522.2513
0.01,0.33274,NR,3514.7784
0.01,0.34286,NR,3507.2351
0.01,0.35298,NR,3499.6261
0.01,0.3631,NR,3491.9519
0.01,0.37321,NR,3484.2125
0.01,0.38333,NR,3476.3929
0.01,0.39345,NR,3468.5066
0.01,0.40357,NR,3460.5516
0.01,0.41369,NR,3452.5268
0.01,0.42381,NR,3444.4303
0.01,0.43393,NR,3436.2627
0.01,0.44405,NR,3428.016
0.01,0.45417,NR,3419.6938
0.01,0.46429,NR,3411.2965
0.01,0.4744,NR,3402.8221
0.01,0.48452,NR,3394.2699
0.01,0.49464,NR,3385.6292
0.01,0.50476,NR,3376.9056
0.01,0.51488,NR,3368.0967
0.01,0.525,NR,3359.1998
0.01,0.53512,NR,3350.2136
0.01,0.54524,NR,3341.1344
0.01,0.55536,NR,3331.9551
0.01,0.56548,NR,3322.6745
0.01,0.5756,NR,3313.2945
0.01,0.58571,NR,3303.812
0.01,0.59583,NR,3294.2229
0.01,0.60595,NR,3284.526
0.01,0.61607,NR,3274.7198
0.01,0.62619,NR,3264.7975
0.01,0.63631,NR,3254.7627
0.01,0.64643,NR,3244.6138
0.01,0.65655,NR,3234.3489
0.01,0.66667,NR,3223.9665
0.01,0.67679,NR,3213.4651
0.01,0.6869,NR,3202.8431
0.01,0.69702,NR,3192.0989
0.01,0.70714,NR,3181.2306
0.01,0.71726,NR,3170.2315
0.01,0.72738,NR,3159.1071
0.01,0.7375,NR,3147.8525
0.01,0.74762,NR,3136.4654
0.01,0.75774,NR,3124.9435
0.01,0.76786,NR,3113.2841
0.01,0.77798,NR,3101.4844
0.01,0.7881,NR,3089.5412
0.01,0.79821,NR,3077.4512
0.01,0.80833,NR,3065.2107
0.01,0.81845,NR,3052.8155
0.01,0.82857,NR,3040.261
0.01,0.83869,NR,3027.5419
0.01,0.84881,NR,3014.6523
0.01,0.85893,NR,3001.5851
0.01,0.86905,NR,2988.3319
0.01,0.87917,NR,2974.8825
0.01,0.88929,NR,2961.2241
0.01,0.8994,NR,2947.3403
0.01,0.90952,NR,2933.2052
0.01,0.91964,NR,2918.7944
0.01,0.92976,NR,2904.0615
0.01,0.93988,NR,2888.9376
0.01,0.95,NR,2873.3076
0.02,0.1,NR,11.3757
0.02,0.11012,NR,11.9641
0.02,0.12024,NR,12.9194
0.02,0.13036,NR,14.5572
0.02,0.14048,NR,16.8143
