cart_dose,sp_value,response,t9,t12,t15,t18,t21,t_final_30
0.01,0.7375,NR,146.18495,252.32104,429.51623,713.87337,1141.9254,3153.2517
0.01,0.74762,NR,145.92384,251.63981,427.99241,710.8424,1136.5853,3141.9271
0.01,0.75774,NR,145.66263,250.95824,426.4674,707.80711,1131.2311,3130.4778
0.01,0.76786,NR,145.4013,250.27632,424.94117,704.76745,1125.8627,3118.9017
0.01,0.77798,NR,145.13984,249.59401,423.41367,701.72333,1120.48,3107.1966
0.01,0.7881,NR,144.87824,248.91131,421.88486,698.67468,1115.0827,3095.3602
0.01,0.79821,NR,144.61648,248.22818,420.35469,695.62142,1109.6708,3083.39
0.01,0.80833,NR,144.35455,247.54458,418.8231,692.56341,1104.2439,3071.2835
0.01,0.81845,NR,144.09244,246.86049,417.29001,689.50054,1098.8018,3059.0381
0.01,0.82857,NR,143.83011,246.17584,415.75534,686.43264,1093.3443,3046.651
0.01,0.83869,NR,143.56753,245.49059,414.21898,683.35952,1087.871,3034.1194
0.01,0.84881,NR,143.30468,244.80465,412.68079,680.28095,1082.3814,3021.44
0.01,0.85893,NR,143.0415,244.11794,411.14061,677.19662,1076.8751,3008.6096
0.01,0.86905,NR,142.77794,243.43034,409.59821,674.10617,1071.3514,2995.6244
0.01,0.87917,NR,142.51393,242.74171,408.05333,671.0091,1065.8095,2982.4803
0.01,0.88929,NR,142.24936,242.05183,406.50559,667.9048,1060.2484,2969.1728
0.01,0.8994,NR,141.98411,241.36045,404.95451,664.79241,1054.6666,2955.6917
0.01,0.90952,NR,141.71799,240.66719,403.3994,661.67075,1049.0623,2942.0371
0.01,0.91964,NR,141.45075,239.97153,401.8393,658.53815,1043.4328,2928.1985
0.01,0.92976,NR,141.182,239.27267,400.27273,655.39209,1037.7739,2914.165
0.01,0.93988,NR,140.91112,238.56937,398.69743,652.22865,1032.0795,2899.9207
0.01,0.95,NR,140.63712,237.85957,397.10956,649.04125,1026.3389,2885.4411
0.02,0.1,PR,76.9232,57.9254,43.9169,33.3916,25.4189,11.2488
0.02,0.11012,PR,80.9769,60.8467,46.0924,35.0348,26.6658,11.7979
0.02,0.12024,PR,87.4523,65.5586,49.6048,37.6879,28.6788,12.684
0.02,0.13036,PR,98.3171,73.5789,55.5814,42.2006,32.1014,14.1896
0.02,0.14048,PR,114.3972,85.89046,64.73275,49.10177,37.33217,16.4879
0.02,0.1506,PR,122.662,92.44683,69.54002,52.71107,40.06387,17.6865
0.02,0.16071,PR,129.2286,97.94288,73.52493,55.69207,42.31745,18.6744
0.02,0.17083,PR,136.372,104.6377,78.36321,59.30617,45.04813,19.8708
0.02,0.18095,PR,144.4706,114.0045,85.12867,64.35484,48.86097,21.5399
0.02,0.19107,PR,152.8611,128.5709,95.66286,72.20617,54.78685,24.1314
0.02,0.20119,PR,158.287,154.6418,114.6789,86.35325,65.45472,28.7891
0.02,0.21131,PR,158.8685,214.0398,161.5932,121.2026,91.69863,40.2169
0.02,0.22143,NR,158.7055,283.4166,496.115,834.8366,986.958,556.3112
0.02,0.23155,NR,158.50232,283.28989,497.42238,847.03189,1371.5864,3570.6279
0.02,0.24167,NR,158.28769,282.8903,496.78901,845.99589,1369.8772,3567.6792
0.02,0.25179,NR,158.06698,282.40831,495.83812,844.21284,1366.8549,3562.7718
0.02,0.2619,NR,157.84278,281.88768,494.75129,842.12556,1363.3093,3557.0927
0.02,0.27202,NR,157.61677,281.34548,493.59083,839.8776,1359.4888,3550.9953
0.02,0.28214,NR,157.38905,280.78939,492.38677,837.53372,1355.5056,3544.6403
0.02,0.29226,NR,157.16073,280.22555,491.1555,835.13006,1351.4173,3538.0987
0.02,0.30238,NR,156.93228,279.65735,489.90802,832.68894,1347.2611,3531.422
0.02,0.3125,NR,156.70335,279.08628,488.65029,830.2238,1343.0609,3524.6371
0.02,0.32262,NR,156.47477,278.51505,487.38908,827.74714,1338.8352,3517.771
0.02,0.33274,NR,156.24672,277.94533,486.12861,825.26811,1334.5988,3510.8401
0.02,0.34286,NR,156.01913,277.37816,484.87242,822.794,1330.3638,3503.8602
0.02,0.35298,NR,155.79198,276.8147,483.62453,820.33248,1326.1429,3496.8481
0.02,0.3631,NR,155.56534,276.25624,482.38841,817.89151,1321.9488,3489.8226
0.02,0.37321,NR,155.33834,275.70322,481.16713,815.47862,1317.7953,3482.795
0.02,0.38333,NR,155.1112,275.15672,479.96644,813.10563,1313.7024,3475.802
0.02,0.39345,NR,154.8828,274.61692,478.79037,810.7855,1309.6937,3468.8809
0.02,0.40357,NR,154.65126,274.08167,477.644,808.53567,1305.8058,3462.0794
0.02,0.41369,NR,154.41535,273.54684,476.53082,806.37959,1302.0886,3455.4834
0.02,0.42381,NR,154.1745,273.0017,475.42427,804.28229,1298.4985,3449.0516
0.02,0.43393,NR,153.93034,272.4235,474.23712,802.02667,1294.6233,3442.1355
0.02,0.44405,NR,153.68223,271.80669,472.90969,799.44041,1290.1775,3434.3921
0.02,0.45417,NR,153.42903,271.16532,471.50266,796.68197,1285.4517,3426.2266
0.02,0.46429,NR,153.17363,270.51141,470.05777,793.84989,1280.6064,3417.8553
0.02,0.4744,NR,152.91755,269.85188,468.59551,790.98444,1275.7034,3409.3493
0.02,0.48452,NR,152.66108,269.18872,467.12318,788.09899,1270.7639,3400.7393
0.02,0.49464,NR,152.40417,268.52352,465.64463,785.19983,1265.7975,3392.0162
0.02,0.50476,NR,152.14685,267.85562,464.16097,782.28909,1260.8075,3383.202
0.02,0.51488,NR,151.88923,267.18661,462.67262,779.36992,1255.7977,3374.2945
0.02,0.525,NR,151.63123,266.5164,461.18206,776.44341,1250.7707,3365.289
0.02,0.53512,NR,151.37291,265.84461,459.68808,773.50964,1245.7262,3356.1967
0.02,0.54524,NR,151.11443,265.17264,458.19253,770.57069,1240.6669,3347.004
0.02,0.55536,NR,150.85591,264.49928,456.69434,767.62546,1235.5918,3337.7227
0.02,0.56548,NR,150.59705,263.82583,455.19516,764.67563,1230.5028,3328.3454
0.02,0.5756,NR,150.33801,263.15155,453.69347,761.72064,1225.3992,3318.8694
0.02,0.58571,NR,150.07903,262.47658,452.19098,758.76064,1220.2814,3309.3018
0.02,0.59583,NR,149.81992,261.80176,450.68684,755.79671,1215.1503,3299.6348
0.02,0.60595,NR,149.56051,261.12601,449.18091,752.82777,1210.0051,3289.8641
0.02,0.61607,NR,149.3011,260.4499,447.67429,749.85457,1204.8466,3279.9973
0.02,0.62619,NR,149.04167,259.7734,446.16617,746.87644,1199.6735,3270.0287
0.02,0.63631,NR,148.782,259.09669,444.65627,743.89436,1194.487,3259.9587
0.02,0.64643,NR,148.52209,258.41926,443.14508,740.90756,1189.2868,3249.776
0.02,0.65655,NR,148.2621,257.74144,441.63286,737.91636,1184.0728,3239.489
0.02,0.66667,NR,148.00211,257.06338,440.11978,734.92097,1178.8453,3229.0953
0.02,0.67679,NR,147.74218,256.38519,438.60546,731.92153,1173.6043,3218.5927
0.02,0.6869,NR,147.48198,255.70672,437.08963,728.91799,1168.3496,3207.9789
0.02,0.69702,NR,147.22161,255.0277,435.57255,725.91011,1163.0812,3197.2522
0.02,0.70714,NR,146.96111,254.34825,434.05428,722.89776,1157.799,3186.4104
0.02,0.71726,NR,146.70051,253.66845,432.53488,719.88105,1152.5028,3175.4556
0.02,0.72738,NR,146.43982,252.98831,431.01435,716.86,1147.1927,3164.3751
0.02,0.7375,NR,146.17905,252.30786,429.49268,713.83462,1141.8685,3153.1746
0.02,0.74762,NR,145.91821,251.62708,427.96986,710.80488,1136.5302,3141.8515
0.02,0.75774,NR,145.65726,250.94597,426.4457,707.77071,1131.1777,3130.4038
0.02,0.76786,NR,145.39617,250.26451,424.92015,704.73213,1125.8109,3118.8293
0.02,0.77798,NR,145.13488,249.58268,423.39324,701.68904,1120.4296,3107.1256
0.02,0.7881,NR,144.87341,248.90032,421.86494,698.64135,1115.0336,3095.2905
0.02,0.79821,NR,144.61178,248.21748,420.33524,695.58901,1109.6228,3083.3214
0.02,0.80833,NR,144.34995,247.53414,418.80406,692.53183,1104.197,3071.2159
0.02,0.81845,NR,144.08793,246.85026,417.27135,689.46968,1098.7559,3058.9712
0.02,0.82857,NR,143.82567,246.16581,415.73702,686.40239,1093.2992,3046.5847
0.02,0.83869,NR,143.56317,245.48072,414.20095,683.3298,1087.8266,3034.0534
0.02,0.84881,NR,143.30038,244.79493,412.66304,680.25171,1082.3376,3021.3741
